Name,Image,VFX,DIY,Buy,Sell,Color 1,Color 2,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Version Added,Unlocked?,Filename,Internal ID,Unique Entry ID
lava flooring,#REF!,Yes,No,3000,750,Black,Orange,NA,NA,Saharah; Saharah's Co-op,,NA,NA,451,horror,ancient,None,Special Inorganic Floors,Not for sale,1.0.0,Yes,RoomSpFloorVolcano00,5274,uT9YnwivAEZ938FKB
leopard-print flooring,#REF!,No,No,1300,325,Orange,Brown,1200,Poki,Nook's Cranny,,NA,NA,151,party,fancy,None,Animal Floor,For sale,1.0.0,Yes,RoomTexFloorAnimal00,4959,GsWLFhWAiRsNrY2XC
light herringbone flooring,#REF!,No,No,1200,300,Beige,Beige,1100,Poki,Nook's Cranny,,NA,NA,151,living room,stylish,None,Herringbone,For sale,1.0.0,Yes,RoomTexFloorHerringbone00,5061,GQXNBcZoQRYRyRYGP
light parquet flooring,#REF!,No,No,1560,390,Beige,Brown,1400,Poki,Nook's Cranny,,NA,NA,151,living room,stylish,None,Country,For sale,1.0.0,Yes,RoomTexFloorCountry00,5022,HqokjwEnZtgcjNSgH
light wood-pattern flooring,#REF!,No,No,1500,375,Beige,Beige,1400,Poki,Nook's Cranny,,NA,NA,151,living room,shop,None,Simple Parquet,For sale,1.0.0,Yes,RoomTexFloorSimpleParquet00,4991,osG5BdoAX86kEitnu
lobby flooring,#REF!,No,No,3000,750,Purple,Black,NA,NA,Saharah; Saharah's Co-op,,NA,NA,451,facility,party,None,Cloth Floors,Not for sale,1.0.0,Yes,RoomTexFloorLobby00,5034,nQCnxLKNXAQ7JqtyB
lunar surface,#REF!,No,Yes,NFS,7500,White,Gray,NA,NA,Crafting,,NA,NA,103,space,sci-fi,stars,Nature - White,Not for sale,1.0.0,Yes,RoomTexFloorLunar00,4968,n8j4WToan9efgnJDM
magic-circle flooring,#REF!,Yes,No,3000,750,Brown,Brown,NA,NA,Saharah's Co-op,,NA,NA,451,horror,fantasy,None,Special Inorganic Floors,Not for sale,2.0.0,Yes,RoomSpFloorMagic00,5249,FYM36HDEkeCpEfhBa
marine pop flooring,#REF!,No,No,2020,505,Blue,Blue,1800,Poki,Nook's Cranny,,NA,NA,151,child's room,fancy,None,Cloth Floors,For sale,1.0.0,Yes,RoomTexFloorFishPop00,5024,yajaXefi94Mx32KAy
mermaid flooring,#REF!,Yes,Yes,NFS,20975,Aqua,Pink,NA,NA,Crafting,,NA,NA,451,ocean,fancy,mermaid,Nature - White,Not for sale,1.3.0,Yes,RoomSpFloorMermaid00,12568,XLgLk68xXpgf344N2
mint dot flooring,#REF!,No,No,800,200,Green,Green,720,Poki,Nook's Cranny,,NA,NA,151,fancy,child's room,None,Dot,For sale,1.0.0,Yes,RoomTexFloorDot01,5026,CCEfvKqoZ7TQXWFqM
modern wood flooring,#REF!,No,No,1280,320,Brown,Brown,1200,Poki,Nook's Cranny,,NA,NA,151,living room,child's room,None,Wood Floors,For sale,1.0.0,Yes,RoomTexFloorMixwood00,5044,jBLBPkiSgmkL52L5n
money flooring,#REF!,No,Yes,NFS,25000,White,White,NA,NA,Crafting,,NA,NA,103,expensive,None,None,Decadence,Not for sale,1.0.0,Yes,RoomTexFloorBill00,4986,M9tBbGtQcTpPWCGeQ
monochromatic dot flooring,#REF!,No,No,800,200,Gray,White,720,Poki,Nook's Cranny,,NA,NA,151,fancy,child's room,None,Dot,For sale,1.0.0,Yes,RoomTexFloorDot00,5023,CJ6ukTuEqDXvFx5kM
monochromatic tile flooring,#REF!,No,No,1620,405,Black,White,1500,Poki,Nook's Cranny,,NA,NA,151,facility,office,None,Panel,For sale,1.0.0,Yes,RoomTexFloorPanel00,5067,wyRDyuntjJqsgxEvz
Moroccan art-tile flooring,#REF!,No,No,3000,750,White,Purple,NA,NA,Saharah's Co-op,,NA,NA,451,stylish,facility,None,Morocco,Not for sale,2.0.0,Yes,RoomTexFloorMoroccanSquareTile00,13604,ERbAkRNcFf6HTN4qj
mossy-garden flooring,#REF!,No,No,3000,750,Green,Green,NA,NA,Saharah; Saharah's Co-op,,NA,NA,451,harmonious,garden,None,Nature - Green,Not for sale,1.0.0,Yes,RoomTexFloorMoss00,5234,3KGLDP2eT6i3A7jaw
My Melody flooring,#REF!,No,No,3000,750,Pink,White,NA,NA,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,NA,NA,201,fancy,None,My Melody,Sanrio Floor,Not in catalog,1.9.0,Yes,RoomTexFloorMymelody00,10180,gQahtXiTawZejarKm
natural flooring,#REF!,No,No,3000,750,Brown,Brown,NA,NA,Saharah's Co-op,,NA,NA,451,child's room,living room,None,Wood Floors,Not for sale,2.0.0,Yes,RoomTexFloorClassroom00,12852,EHNhGbKdG4gM8E6mT
natural-block flooring,#REF!,No,No,1380,345,Brown,Beige,1200,Poki,Nook's Cranny,,NA,NA,151,school,café,None,Parquet,For sale,1.0.0,Yes,RoomTexFloorParquet00,5033,BaHnYrekt2ngfWeCQ
Nook Inc. flooring,#REF!,No,No,NFS,6000,Brown,Brown,1200,Nook Miles,Nook Miles Redemption,,NA,NA,151,school,shop,None,Wood Floors,Not for sale,1.0.0,Yes,RoomTexFloorFirst00,6005,tHvrMW72TDM3ezhRx
oasis flooring,#REF!,Yes,No,3000,750,Beige,Aqua,NA,NA,Saharah; Saharah's Co-op,,NA,NA,451,ancient,local,None,Special Inorganic Floors,Not for sale,1.0.0,Yes,RoomSpFloorOasis00,5255,Apr3HrqodwkiBk5ZQ
old board flooring,#REF!,No,No,3000,750,Brown,Brown,NA,NA,Saharah's Co-op,,NA,NA,451,harmonious,retro,None,Wood Floors,Not for sale,2.0.0,Yes,RoomTexFloorOldBoard00,13484,YuEieHpCKRmQDpwA4
old stone-tile flooring,#REF!,No,No,3000,750,Gray,Gray,NA,NA,Saharah's Co-op,,NA,NA,451,horror,facility,None,Tile Floors,Not for sale,2.0.0,Yes,RoomTexFloorLabo00,12730,kH7PZmDTJNBXyC8DW
olive Moroccan flooring,#REF!,No,No,2100,525,Yellow,Brown,1900,Poki,Nook's Cranny,,NA,NA,151,bathroom,public bath,Moroccan,Morocco,For sale,1.0.0,Yes,RoomTexFloorMorocco03,6928,LwaiMzRi8kw2Xw35j
operating-room flooring,#REF!,No,No,3000,750,White,Gray,NA,NA,Saharah's Co-op,,NA,NA,451,hospital,lab,None,Iron,Not for sale,2.0.0,Yes,RoomTexFloorOperatingRoom00,12729,jbeZwwgpTpcNp4nMB
orange camo flooring,#REF!,No,No,1320,330,Orange,Orange,1200,Poki,Nook's Cranny,,NA,NA,151,party,child's room,None,Camouflage,For sale,1.0.0,Yes,RoomTexFloorCamouflage03,6845,e2cw6YYcpWZdfH38F
orange retro flooring,#REF!,No,No,1540,385,Orange,Orange,1400,Poki,Nook's Cranny,,NA,NA,151,kitchen,retro,None,Kitchen Floors,For sale,1.0.0,Yes,RoomTexFloorKitchen00,5043,GpDHr3gHCZSrK5bfx
paintball flooring,#REF!,No,No,3000,750,White,Colorful,NA,NA,Saharah; Saharah's Co-op,,NA,NA,451,workshop,facility,None,Stone Floors,Not for sale,1.0.0,Yes,RoomTexFloorAtelier00,4988,vC2oYRMxbZXYazKYW
palace tile,#REF!,No,No,3000,750,White,White,NA,NA,Saharah; Saharah's Co-op,,NA,NA,451,expensive,European,None,Luxury,Not for sale,1.0.0,Yes,RoomTexFloorPalace00,5051,ZBN9trZ7YTDgN5z3Y
Paradise Planning flooring,#REF!,No,No,NFS,750,Brown,Brown,2700,Poki,Wardell,,Happy Home Paradise,Yes,151,living room,None,None,FloorSimpleGlodSilverBronze,Not for sale,2.0.0,Yes,RoomTexFloorGoldRich00,13026,r4w8gQhhJty9bm7xR
parking flooring,#REF!,No,No,3000,750,Black,Gray,NA,NA,Saharah; Saharah's Co-op,,NA,NA,451,facility,city life,None,Sidewalk,Not for sale,1.0.0,Yes,RoomTexFloorParking00,4997,Lx2JZuP8F6xS28PPG
party flooring,#REF!,No,No,NFS,370,Colorful,Gray,NA,NA,Birthday,,Birthday,Yes,573,party,fancy,None,Decadence,Not for sale,1.0.0,Yes,RoomTexFloorParty00,5241,8vy7YrhEnTpt8GjWT
pastel puzzle flooring,#REF!,No,No,1450,362,White,White,1300,Poki,Nook's Cranny,,NA,NA,151,fancy,child's room,None,Puzzle Mat,For sale,1.0.0,Yes,RoomTexFloorPuzzleMat00,4956,nGtvPzJvdJb5xmQo8
patchwork-tile flooring,#REF!,No,No,2100,525,White,White,1900,Poki,Nook's Cranny,,NA,NA,151,bathroom,public bath,None,Tile Floors,For sale,1.0.0,Yes,RoomTexFloorPatchworkTile00,4995,hCAe3badxv5faWwGE
patient-ward flooring,#REF!,No,No,3000,750,Aqua,Aqua,NA,NA,Saharah's Co-op,,NA,NA,451,hospital,None,None,Tile Floors,Not for sale,2.0.0,Yes,RoomTexFloorHospitalRoom00,12726,FErNxHjdPBPz7KarF
pine-board flooring,#REF!,No,No,2500,625,Beige,Beige,2200,Poki,Nook's Cranny,,NA,NA,151,living room,child's room,None,Wood Floors,For sale,1.0.0,Yes,RoomTexFloorSimple00,5019,B3GmKqXBaKNeugExA
pink-paint flooring,#REF!,No,No,1040,260,Pink,Pink,940,Poki,Nook's Cranny,,NA,NA,151,living room,child's room,None,Painted Wood,For sale,1.0.0,Yes,RoomTexFloorPaintWood02,5059,wXCN3tKY2rDen6D6s
pirate flooring,#REF!,No,No,NFS,750,Brown,Yellow,NA,NA,Gullivarrr,,NA,NA,451,ocean,expensive,pirate,Luxury,Not for sale,1.3.0,Yes,RoomTexFloorPirates00,12569,RaD6jMvqDehvYkgSg
Pompompurin flooring,#REF!,No,No,3000,750,Yellow,Brown,NA,NA,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,NA,NA,201,fancy,None,Pompompurin,Sanrio Floor,Not in catalog,1.9.0,Yes,RoomTexFloorPurin00,10181,cr9Y5i6W3Yk5d6P4K
prom flooring,#REF!,No,No,3000,750,Beige,Colorful,NA,NA,Nook Shopping Seasonal,,Prom,Yes,201,party,None,None,Wood Floors,Seasonal,1.9.0,Yes,RoomTexFloorBallroom00,14253,WacHEETZv7joBaD49
purple camo flooring,#REF!,No,No,1320,330,Purple,Purple,1200,Poki,Nook's Cranny,,NA,NA,151,party,child's room,None,Camouflage,For sale,1.0.0,Yes,RoomTexFloorCamouflage02,5017,JZ5JuDTqYYu8PQZrJ
purple Moroccan flooring,#REF!,No,No,2100,525,Purple,White,1900,Poki,Nook's Cranny,,NA,NA,151,bathroom,public bath,Moroccan,Morocco,For sale,1.0.0,Yes,RoomTexFloorMorocco02,6927,4e7h4ZuzEKJb5ua3v
purple puzzle flooring,#REF!,No,No,1450,362,Purple,Colorful,1300,Poki,Nook's Cranny,,NA,NA,151,fancy,child's room,None,Puzzle Mat,For sale,1.0.0,Yes,RoomTexFloorPuzzleMat03,7185,xi7QC9EcD34PNSdzt
pyramid tile,#REF!,No,No,3000,750,Beige,Beige,NA,NA,Saharah; Saharah's Co-op,,NA,NA,451,ancient,None,None,Luxury,Not for sale,1.0.0,Yes,RoomTexFloorEgypt00,5054,kcHqZKGAjAwFcQxNg
racetrack flooring,#REF!,No,No,3000,750,Green,Green,NA,NA,Saharah; Saharah's Co-op,,NA,NA,451,sports,school,None,Sports Floor,Not for sale,1.0.0,Yes,RoomTexFloorAthletics00,4996,QDiAF633q7ohZqqTK
ramshackle flooring,#REF!,No,No,3000,750,Beige,Beige,NA,NA,Saharah; Saharah's Co-op,,NA,NA,451,horror,None,None,Decadence,Not for sale,1.0.0,Yes,RoomTexFloorRuins00,5240,tx4WSnBkFsrJZHe7b
random-square-tile flooring,#REF!,No,No,1360,340,White,White,1200,Poki,Nook's Cranny,,NA,NA,151,facility,shop,None,Tile Floors,For sale,1.0.0,Yes,RoomTexFloorSquareTile00,4973,3GqKtZdottDaNdNvP
rattan flooring,#REF!,No,No,1100,275,Beige,Beige,990,Poki,Nook's Cranny,,NA,NA,151,retro,harmonious,None,Wood Floors,For sale,1.0.0,Yes,RoomTexFloorRattan00,4967,C5WxH5ZD5LcXeGL56
red dot flooring,#REF!,No,No,800,200,Red,Red,720,Poki,Nook's Cranny,,NA,NA,151,fancy,child's room,None,Dot,For sale,1.0.0,Yes,RoomTexFloorDot02,5027,RRjt2eaLkEJv9Hk6W
red-and-black vinyl flooring,#REF!,No,No,1150,287,Red,Gray,1000,Poki,Nook's Cranny,,NA,NA,151,arcade,facility,None,Tile Checker,For sale,1.0.0,Yes,RoomTexFloorTileChecker01,5047,y9Bcpqd5GNvw29DbR
red-brick flooring,#REF!,No,No,1040,260,Red,Brown,940,Poki,Nook's Cranny,,NA,NA,151,city life,amusement park,None,Brick,For sale,1.0.0,Yes,RoomTexFloorBrick01,4975,tknYxCq8ztLx7Tibi
restaurant-kitchen flooring,#REF!,No,No,3000,750,White,Gray,NA,NA,Saharah's Co-op,,NA,NA,451,kitchen,restaurant,None,Iron,Not for sale,2.0.0,Yes,RoomTexFloorCookery00,12915,HwfcevySwq687Symt
robo-flooring,#REF!,No,No,3000,750,White,White,NA,NA,Saharah's Co-op,,NA,NA,451,sci-fi,lab,None,Machine Floor,Not for sale,2.0.0,Yes,RoomTexFloorRobo00,5072,CiGQrSFNxZcfEFtBh
rocky-mountain flooring,#REF!,No,No,3000,750,Beige,Beige,NA,NA,Saharah; Saharah's Co-op,,NA,NA,451,nature,outdoors,None,Nature - Brown,Not for sale,1.0.0,Yes,RoomTexFloorRock00,5239,BKwXAcy5Q9mW2GJkH
Room Sketch flooring,#REF!,Yes,No,NFS,750,White,White,2700,Poki,Wardell,,Happy Home Paradise,Yes,151,None,None,None,Special Inorganic Floors,Not for sale,2.0.0,Yes,RoomSpFloorSketch00,14897,hWZn7wcpwD4BGZw2c
rope-net flooring,#REF!,Yes,Yes,NFS,1000,Beige,Green,NA,NA,Crafting,,NA,NA,103,nature,park,None,Special Nature Floors,Not for sale,2.0.0,Yes,RoomSpFloorRopenet00,13880,83n3sq2mysXuXmMju
rose flooring,#REF!,No,No,2200,550,Red,Red,2000,Poki,Nook's Cranny,,NA,NA,151,European,expensive,None,Cloth Floors,For sale,1.0.0,Yes,RoomTexFloorRoseCarpet00,4958,5vGSvnYMFe4A5LRte
rosewood flooring,#REF!,No,No,2420,605,Gray,Gray,2200,Poki,Nook's Cranny,,NA,NA,151,den,living room,None,Wood Floors,For sale,1.0.0,Yes,RoomTexFloorRoseWood00,5063,jA7bCaTtZq6Z2r4gr
rubber-tile flooring,#REF!,No,No,700,175,Gray,Gray,630,Poki,Nook's Cranny,,NA,NA,151,facility,shop,None,Tile Floors,For sale,1.0.0,Yes,RoomTexFloorRubberTile00,5163,YiBqEKfe7i4EuseqS
rush tatami,#REF!,No,No,2200,550,Beige,Beige,2000,Poki,Nook's Cranny,,NA,NA,151,harmonious,retro,None,Tatami,For sale,1.0.0,Yes,RoomTexFloorTatami01,5079,rnwpHPKqefSS5Hhz8
rush tatami flooring,#REF!,No,No,2200,550,Beige,Beige,2000,Poki,Nook's Cranny,,NA,NA,151,harmonious,retro,None,Tatami Panel,For sale,1.0.0,Yes,RoomTexFloorTatamiPanel01,5078,CYDJXEYacE5fPeLYJ
Saharah's desert,#REF!,No,No,3000,750,Beige,Beige,NA,NA,Saharah; Saharah's Co-op,,NA,NA,451,nature,ancient,None,Nature - White,Not for sale,1.0.0,Yes,RoomTexFloorDesert00,4983,7cH3CsBAarxRhAkZ5
sakura-wood flooring,#REF!,No,Yes,NFS,3200,Pink,Pink,NA,NA,Crafting,,cherry-blossom petals,Yes,201,child's room,fancy,None,Wood Floors,Not for sale,1.0.0,Yes,RoomTexFloorSolidWood00,5056,QB6ZXiQbMQ6iWexQm
sandlot,#REF!,No,No,3000,750,Yellow,Beige,NA,NA,Saharah; Saharah's Co-op,,NA,NA,451,garden,local,None,Nature - Brown,Not for sale,1.0.0,Yes,RoomTexFloorEmptyLot00,4985,HZM5De52k9N4E3iei
sandy-beach flooring,#REF!,No,Yes,NFS,4120,Beige,Beige,NA,NA,Crafting,,NA,NA,103,ocean,resort,None,Nature - White,Not for sale,1.0.0,Yes,RoomTexFloorSand00,4970,tDrdWs28RgvnyTMNC
sci-fi flooring,#REF!,Yes,Yes,NFS,7500,Black,Black,NA,NA,Crafting,,NA,NA,103,space,facility,None,Special Inorganic Floors,Not for sale,1.0.0,Yes,RoomSpFloorSF00,5270,NAEGL6s5arLj9y2ku
scramble crosswalk,#REF!,No,No,3000,750,Gray,Gray,NA,NA,Saharah; Saharah's Co-op,,NA,NA,451,city life,None,None,Sidewalk,Not for sale,1.0.0,Yes,RoomTexFloorScramble00,5010,EHdRo9mbi9QhCtdYN
sepia puzzle flooring,#REF!,No,No,1450,362,Colorful,Colorful,1300,Poki,Nook's Cranny,,NA,NA,151,fancy,child's room,None,Puzzle Mat,For sale,1.0.0,Yes,RoomTexFloorPuzzleMat02,7184,ND2rTCs7dZjKiGXjC
ship deck,#REF!,No,No,4000,1000,Beige,Beige,3600,Poki,Nook's Cranny,,NA,NA,151,ocean,workshop,None,Sports Floor,For sale,1.0.0,Yes,RoomTexFloorSeaView00,4950,X9tRZEzQMKRKd5rnz
sidewalk flooring,#REF!,No,No,3000,750,Gray,Brown,NA,NA,Saharah; Saharah's Co-op,,NA,NA,451,city life,None,None,Sidewalk,Not for sale,1.0.0,Yes,RoomTexFloorSidewalk01,5008,3FteXxettQm7iZF2p
simple blue flooring,#REF!,No,No,1500,375,Blue,Blue,1400,Poki,Nook's Cranny,,NA,NA,151,den,living room,simple,Simple Carpet,For sale,1.0.0,Yes,RoomTexFloorSimpleCarpet01,5001,JKvF62fyqF6Pg9igx
simple purple flooring,#REF!,No,No,1500,375,Purple,Purple,1400,Poki,Nook's Cranny,,NA,NA,151,den,living room,simple,Simple Carpet,For sale,1.0.0,Yes,RoomTexFloorSimpleCarpet03,5003,qn6BKtgHm5tmoDtAG
simple red flooring,#REF!,No,No,1500,375,Red,Red,1400,Poki,Nook's Cranny,,NA,NA,151,den,living room,simple,Simple Carpet,For sale,1.0.0,Yes,RoomTexFloorSimpleCarpet00,5000,5WEw368jE8FK9LcPa
simple white flooring,#REF!,No,No,1500,375,White,White,1400,Poki,Nook's Cranny,,NA,NA,151,living room,shop,simple,Simple Carpet,For sale,1.0.0,Yes,RoomTexFloorSimpleCarpet04,5004,RwMEDYWk9YBgrtXmY
ski-slope flooring,#REF!,No,Yes,NFS,3200,White,White,NA,NA,Crafting,,snowflakes,Yes,201,freezing cold,ocean,None,Nature - White,Not for sale,1.0.0,Yes,RoomTexFloorGelande00,4989,NpqGszuaZckXifyju
skull-print flooring,#REF!,No,No,3000,750,Black,Black,2700,Poki,Nook's Cranny,,NA,NA,151,horror,child's room,None,Cloth Floors,For sale,1.0.0,Yes,RoomTexFloorSkull00,5248,Ghp5z68RNmKQDDCzz
slate flooring,#REF!,No,No,1380,345,Gray,Gray,1200,Poki,Nook's Cranny,,NA,NA,151,city life,European,None,Stone Floors,For sale,1.0.0,Yes,RoomTexFloorSlate00,5233,hchG9hWK9Ci3iXzTN
spooky flooring,#REF!,No,No,NFS,3000,Brown,Brown,NA,NA,All villagers,Trade candy or a lollipop with a villager,Halloween,Yes,231,horror,party,spooky,Parquet,Not for sale,1.5.0,Yes,RoomTexFloorHalloween00,13225,ks8i6hhQTyBktaRoR
starry-sands flooring,#REF!,No,Yes,NFS,7720,Beige,White,NA,NA,Crafting,,summer shells,Yes,201,ocean,resort,shell,Nature - White,Not for sale,1.0.0,Yes,RoomTexFloorSandStar00,7239,54Jcui933sPTvdqXY
steampunk flooring,#REF!,No,No,3000,750,Black,Black,NA,NA,Saharah's Co-op,,NA,NA,451,sci-fi,lab,None,Machine Floor,Not for sale,2.0.0,Yes,RoomTexFloorSteampunk00,5055,SyR2wuY2NxNTGC5Z5
steel flooring,#REF!,No,Yes,NFS,5250,Gray,Gray,NA,NA,Crafting,,NA,NA,103,workshop,construction site,None,Iron,Not for sale,1.0.0,Yes,RoomTexFloorSteel00,4960,nYi4jRsp3MXrnPPDR
stone tile,#REF!,No,No,3000,750,White,White,2700,Poki,Nook's Cranny,,NA,NA,151,expensive,facility,None,Stone Floors,For sale,1.0.0,Yes,RoomTexFloorMarble00,5069,RNMhc9jJApavmhgPC
stripe flooring,#REF!,No,No,1200,300,Colorful,Gray,1100,Poki,Nook's Cranny,,NA,NA,151,living room,child's room,None,Cloth Floors,For sale,1.0.0,Yes,RoomTexFloorStripe00,4963,5CY9wQTePbYzQTDF2
sumo ring,#REF!,No,No,3000,750,Beige,Beige,NA,NA,Saharah; Saharah's Co-op,,NA,NA,451,sports,harmonious,None,Sports Floor,Not for sale,1.0.0,Yes,RoomTexFloorArena00,5013,qKfY2Nnx5ApBzgGEF
swamp flooring,#REF!,No,No,3000,750,Black,Gray,NA,NA,Saharah; Saharah's Co-op,,NA,NA,451,nature,horror,None,Nature - Brown,Not for sale,1.0.0,Yes,RoomTexFloorBog00,5238,vTPvWC9bkZyeP7BxS
tatami,#REF!,No,No,2200,550,Beige,Beige,2000,Poki,Nook's Cranny,,NA,NA,151,harmonious,retro,None,Tatami,For sale,1.0.0,Yes,RoomTexFloorTatami00,5039,jdcZQ9LCDoroeYKws
tatami flooring,#REF!,No,No,2200,550,Green,White,2000,Poki,Nook's Cranny,,NA,NA,151,harmonious,retro,None,Tatami Panel,For sale,1.0.0,Yes,RoomTexFloorTatamiPanel00,5077,Qo5nLhbZ7iD5JLP4Z
tent flooring,#REF!,No,No,3000,750,Beige,Beige,NA,NA,Saharah's Co-op,,NA,NA,451,outdoors,facility,None,Simple Carpet,Not for sale,2.0.0,Yes,RoomTexFloorGlamping00,13485,7FeE8tYxwSiqgxZHf
terra-cotta flooring,#REF!,No,No,1800,450,Orange,Orange,1600,Poki,Nook's Cranny,,NA,NA,151,garden,city life,None,Tile Floors,For sale,1.0.0,Yes,RoomTexFloorTileTerracotta00,4971,Ec8TrwurFcmQKi4CZ
tiger-print flooring,#REF!,No,No,1300,325,Black,Orange,1200,Poki,Nook's Cranny,,NA,NA,151,party,fancy,None,Animal Floor,For sale,1.0.0,Yes,RoomTexFloorAnimal03,6848,uz5PotSZqNAT5kgtT
train-station flooring,#REF!,No,No,3000,750,Beige,Brown,NA,NA,Saharah; Saharah's Co-op,,NA,NA,451,facility,city life,None,Sidewalk,Not for sale,1.0.0,Yes,RoomTexFloorPlatform00,5009,khwvshrYhvaL9FPsC
Turkey Day flooring,#REF!,No,No,NFS,750,Brown,Beige,NA,NA,Franklin,Reward for giving Franklin the requested ingredients,Turkey Day,Yes,351,party,None,Turkey Day,Wood Floors,Not for sale,1.6.0,Yes,RoomTexFloorHarvest00,13319,J6iDTBzZXQkNMqLTC
underwater flooring,#REF!,Yes,Yes,NFS,6600,Blue,Aqua,NA,NA,Crafting,,summer shells,Yes,201,ocean,fancy,None,Special Nature Floors,Not for sale,1.0.0,Yes,RoomSpFloorFishTank00,5268,bGowh78amRY7uJsYE
water flooring,#REF!,Yes,Yes,NFS,7200,Aqua,Blue,NA,NA,Crafting,,summer shells,Yes,201,ocean,None,None,Special Nature Floors,Not for sale,1.0.0,Yes,RoomSpFloorWater00,5030,opJSK2mkCqkBRQTW3
western desert,#REF!,No,No,3000,750,Beige,Beige,NA,NA,Saharah; Saharah's Co-op,,NA,NA,451,ancient,horror,None,Nature - Brown,Not for sale,1.0.0,Yes,RoomTexFloorWilderness00,4984,24mkYXzRGCvGibXQ9
white honeycomb tile,#REF!,No,No,1420,355,White,White,1300,Poki,Nook's Cranny,,NA,NA,151,bathroom,public bath,None,Honeycomb,For sale,1.0.0,Yes,RoomTexFloorHoneycomb03,5042,RKrRAgjoevjYsLwTp
white iron-parquet flooring,#REF!,No,No,2350,587,White,White,2100,Poki,Nook's Cranny,,NA,NA,151,expensive,restaurant,None,Iron Parquet,For sale,1.0.0,Yes,RoomTexFloorParquetIron03,6843,ZFAq3rRLCCRRgAcF7
white mosaic-tile flooring,#REF!,No,No,900,225,White,White,810,Poki,Nook's Cranny,,NA,NA,151,bathroom,public bath,None,Tile Floors,For sale,1.0.0,Yes,RoomTexFloorTile00,5020,23nmmfSJ7pvKyeuFZ
white wedding flooring,#REF!,No,No,NFS,750,White,Aqua,12,Heart Crystals,Cyrus,,Wedding Season,Yes,437,party,expensive,wedding,Tile Floors,Not for sale,1.2.0,Yes,RoomTexFloorMarbleTile00,12431,GYZ8kvbfYK7i2NcvT
white-brick flooring,#REF!,No,No,1040,260,White,White,940,Poki,Nook's Cranny,,NA,NA,151,city life,European,None,Brick,For sale,1.0.0,Yes,RoomTexFloorBrick00,4974,83vQYs26vwE7aa4bZ
white-chocolates flooring,#REF!,No,No,3000,750,White,Beige,NA,NA,Saharah; Saharah's Co-op,,NA,NA,451,fancy,None,None,Chocolate,Not for sale,1.0.0,Yes,RoomTexFloorChocolate01,5052,b2WBXQkcAqfJ48RH3
white-paint flooring,#REF!,No,No,1040,260,White,White,940,Poki,Nook's Cranny,,NA,NA,151,living room,child's room,None,Painted Wood,For sale,1.0.0,Yes,RoomTexFloorPaintWood03,5060,JdnrGbAMW7FBxrw5P
wildflower meadow,#REF!,No,No,3000,750,Green,Green,NA,NA,Saharah; Saharah's Co-op,,NA,NA,451,garden,nature,None,Grassland,Not for sale,1.0.0,Yes,RoomTexFloorGrassland01,5006,dYb6DAfZQJTGN7svs
wooden-knot flooring,#REF!,No,No,780,195,Brown,Brown,700,Poki,Nook's Cranny,,NA,NA,151,living room,child's room,None,Wood Floors,For sale,1.0.0,Yes,RoomTexFloorCedar00,5049,ttyLLQ39Dc3fK32JE
yellow floral flooring,#REF!,No,No,1520,380,Yellow,Yellow,1400,Poki,Nook's Cranny,,NA,NA,151,stylish,living room,None,Deco Wood,For sale,1.0.0,Yes,RoomTexFloorDecoWood00,5073,R69sMEPHQGu7fBzuQ
zebra-print flooring,#REF!,No,No,1300,325,Black,White,1200,Poki,Nook's Cranny,,NA,NA,151,party,fancy,None,Animal Floor,For sale,1.0.0,Yes,RoomTexFloorAnimal02,4962,9Mdszd5EgwJ6omLPf