Name,Image,DIY,Buy,Sell,Color 1,Color 2,Size,Size Category,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Version Added,Unlocked?,Filename,Internal ID,Unique Entry ID
red-and-blue checked rug,#REF!,No,2000,500,Red,Blue,4x4,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,living room,child's room,None,Pattern Rugs,For sale,1.0.0,Yes,RugSquareCheckQuiltL00,7343,zrouM9QCzYKg3kBcc
red-design kitchen mat,#REF!,No,1000,250,Red,Black,2x1,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,kitchen,None,None,Kitchen Rugs,For sale,1.0.0,Yes,RugRectNativeKitchenS00,7340,7KtKd8P5tbGSfG2qZ
retro dotted rug,#REF!,No,2000,500,Green,Green,4x3,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,fancy,child's room,None,Slender Pattern Rugs,For sale,1.0.0,Yes,RugRectDotL01,7466,29Pm3PcqEJ3nP36sh
rough rug,#REF!,No,1000,250,Brown,Brown,2x1,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,school,facility,None,Slender Rugs,For sale,1.0.0,Yes,RugRectDoormatS00,7324,oEg77tXhJ6GReb7gp
round glowing-moss rug,#REF!,Yes,NFS,200,Green,Green,2x2,Small,NA,NA,Crafting,,NA,NA,103,nature,fantasy,None,Shaggy Round Rugs,Not for sale,2.0.0,Yes,RugRoundGlowMossS00,13878,hBAApWnka5p3taup2
round vine rug,#REF!,Yes,NFS,400,Green,Green,2x2,Small,NA,NA,Crafting,,NA,NA,103,nature,local,None,Shaggy Round Rugs,Not for sale,2.0.0,Yes,RugRoundVineS00,13906,4swv5cokrfFG3Pvpw
rubber mud mat,#REF!,No,1000,250,Green,Green,2x1,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,school,None,None,Slender Rugs,For sale,1.0.0,Yes,RugRectRubberScraperS00,7339,Er4wGFd53SAq3zsGX
shamrock rug,#REF!,No,1500,375,Green,Green,3x3,Medium,NA,NA,Nook Shopping Seasonal,,Shamrock Day,Yes,201,fancy,None,None,Icon Rugs,Seasonal,1.8.0,Yes,RugOtherShamrockM00,7547,FcnuoWDXY7oGanq74
shanty mat,#REF!,No,2000,500,Brown,Beige,4x4,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,harmonious,horror,None,Simple Rugs,For sale,1.0.0,Yes,RugSquareOldStrawL00,7345,jLR8r3aHpRe4yJyxA
shell rug,#REF!,Yes,NFS,5400,Beige,Pink,3x3,Medium,NA,NA,Crafting,,NA,NA,103,ocean,fancy,shell,Park Rugs,Not for sale,1.0.0,Yes,RugOtherShellM00,7362,kC3KJRKazh5c6m2uN
simple entrance mat,#REF!,No,1000,250,Black,Black,2x1,Small,NA,NA,Saharah's Co-op,,NA,NA,89,living room,facility,None,Slender Rugs,For sale,2.0.0,Yes,RugRectEntranceS00,13058,sgqHLSNKe9ezJFrnL
simple green bath mat,#REF!,No,1000,250,Green,Green,2x1,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,bathroom,public bath,None,Slender Rugs,For sale,1.0.0,Yes,RugRectBathmatS03,7516,zfRhHqsvfBg5D6CJA
simple medium avocado mat,#REF!,No,1500,375,Green,Green,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,living room,facility,None,Simple Rugs,For sale,1.0.0,Yes,RugSquareSimpleM03,7524,9BzJWMCmruohLvY8x
simple medium black mat,#REF!,No,1500,375,Black,Black,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,living room,facility,None,Simple Rugs,For sale,1.0.0,Yes,RugSquareSimpleM07,7539,Nmx4FN5RX5LJ2xRF8
simple medium blue mat,#REF!,No,1500,375,Blue,Blue,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,living room,facility,None,Simple Rugs,For sale,1.0.0,Yes,RugSquareSimpleM02,7523,7nEjDqYTsZdF3n8Ky
simple medium brown mat,#REF!,No,1500,375,Brown,Brown,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,living room,facility,None,Simple Rugs,For sale,1.0.0,Yes,RugSquareSimpleM01,7519,FAqsC7JonfkPt3jc2
simple medium orange mat,#REF!,No,1500,375,Orange,Orange,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,living room,facility,None,Simple Rugs,For sale,1.0.0,Yes,RugSquareSimpleM05,7536,Bt6N5gWJJNtdNg8TC
simple medium purple mat,#REF!,No,1500,375,Purple,Purple,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,living room,facility,None,Simple Rugs,For sale,1.0.0,Yes,RugSquareSimpleM06,7538,9WryqBnvAMiSF7vJ6
simple medium red mat,#REF!,No,1500,375,Red,Red,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,living room,facility,None,Simple Rugs,For sale,1.0.0,Yes,RugSquareSimpleM04,7540,yB22Mz4KP2wbzjYtv
simple navy bath mat,#REF!,No,1000,250,Gray,Gray,2x1,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,bathroom,public bath,None,Slender Rugs,For sale,1.0.0,Yes,RugRectBathmatS01,7518,AZQdF6gMi89DXP9K3
simple pink bath mat,#REF!,No,1000,250,Pink,Pink,2x1,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,bathroom,public bath,None,Slender Rugs,For sale,1.0.0,Yes,RugRectBathmatS02,7517,Lqze8wPcmFatBMFDw
simple small avocado mat,#REF!,No,1000,250,Green,Green,2x2,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,living room,facility,None,Simple Rugs,For sale,1.0.0,Yes,RugSquareSimpleS03,7520,PKfPEbTw8C55Qc5oH
simple small black mat,#REF!,No,1000,250,Black,Black,2x2,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,living room,facility,None,Simple Rugs,For sale,1.0.0,Yes,RugSquareSimpleS07,7543,uSGDYs7hCuxMBTZbi
simple small blue mat,#REF!,No,1000,250,Blue,Blue,2x2,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,living room,facility,None,Simple Rugs,For sale,1.0.0,Yes,RugSquareSimpleS02,7521,Q7FSQ4q6Hzt2YihKH
simple small brown mat,#REF!,No,1000,250,Brown,Brown,2x2,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,living room,facility,None,Simple Rugs,For sale,1.0.0,Yes,RugSquareSimpleS01,7522,aKCpcBCjrn6wWcyw2
simple small orange mat,#REF!,No,1000,250,Orange,Orange,2x2,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,living room,facility,None,Simple Rugs,For sale,1.0.0,Yes,RugSquareSimpleS05,7541,WomwFGQsQgogZNtQf
simple small purple mat,#REF!,No,1000,250,Purple,Purple,2x2,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,living room,facility,None,Simple Rugs,For sale,1.0.0,Yes,RugSquareSimpleS06,7542,h7wpDFdwKgJs2BvgG
simple small red mat,#REF!,No,1000,250,Red,Red,2x2,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,living room,facility,None,Simple Rugs,For sale,1.0.0,Yes,RugSquareSimpleS04,7537,nRakPP7nXacJB3YHX
skull rug,#REF!,No,1500,375,Gray,Black,3x3,Medium,NA,NA,Saharah's Co-op,,NA,NA,137,horror,child's room,None,Icon Rugs,For sale,2.0.0,Yes,RugOtherSkullM00,12334,45XdJjQY2JqipTQ9F
sloppy rug,#REF!,No,2000,500,Aqua,Aqua,4x4,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,living room,child's room,sloppy,Simple Rugs,For sale,1.0.0,Yes,RugOtherSloppyL00,7371,337rrvb9iapfJC4nb
small Paradise Planning mat,#REF!,No,NFS,250,Red,Red,2x1,Small,900,Poki,Wardell,,Happy Home Paradise,Yes,151,living room,None,None,Slender Pattern Rugs,Not for sale,2.0.0,Yes,RugRectPatternS00,14707,pTEGa3pxpuMwuwLmJ
snowflake rug,#REF!,No,1500,375,Aqua,White,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,freezing cold,fancy,None,Shaggy Round Rugs,For sale,1.0.0,Yes,RugRoundSnowM00,7346,upNaAkxPwQRHP6NXi
spooky rug,#REF!,No,NFS,2000,Orange,Purple,4x4,Large,NA,NA,All villagers,Trade candy or a lollipop with a villager,Halloween,Yes,231,horror,party,spooky,Pattern Rugs,Not for sale,1.5.0,Yes,RugSquareHalloweenL00,7545,vgzmZDqaGRtrDN7Pv
stage rug,#REF!,No,1500,375,Colorful,Yellow,3x3,Medium,NA,NA,Saharah's Co-op,,NA,NA,137,concert,party,None,Shaggy Round Rugs,For sale,2.0.0,Yes,RugRoundStageM00,12725,5ooaYbBht82jjATW9
starry-skies rug,#REF!,Yes,NFS,5500,Blue,Blue,3x3,Medium,NA,NA,Crafting,,NA,NA,103,None,None,stars,Shaggy Round Rugs,Not for sale,2.0.0,Yes,RugRoundZodiacM00,12521,xzKfkAfhP9hgzsRXw
summer-shell rug,#REF!,Yes,NFS,7200,Aqua,Aqua,3x3,Medium,NA,NA,Crafting,,summer shells,Yes,201,ocean,fancy,None,Park Rugs,Not for sale,1.6.0,Yes,RugOtherShellSnailM00,12217,fBGGF9Cqbudi6cmsk
sunflower rug,#REF!,No,1500,375,Yellow,Brown,3x3,Medium,NA,NA,Nook Shopping Seasonal,,Summer Solstice,Yes,201,fancy,child's room,flowers,Icon Rugs,Seasonal,1.6.0,Yes,RugOtherSunflowerM00,13596,D8jXWc5Nq678JDmpr
tatami mat,#REF!,No,1500,375,Green,Yellow,3x2,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,harmonious,None,None,Wood Rugs,For sale,1.0.0,Yes,RugRectTatamiM00,7369,m7efgfNG3HZR6G29s
tree-stump rug,#REF!,Yes,NFS,720,Beige,Brown,3x3,Medium,NA,NA,Crafting,,NA,NA,103,nature,local,None,Park Rugs,Not for sale,2.0.0,Yes,RugOtherStumpM00,12379,LeZfLvbzy4LHMFotw
tropical rug,#REF!,No,1500,375,Green,Beige,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,ocean,resort,None,Park Rugs,For sale,1.0.0,Yes,RugRoundIslandM00,7358,tjgfDcBRhWQrxhjzk
Turkey Day rug,#REF!,No,NFS,500,Beige,Beige,4x4,Large,NA,NA,Franklin,Reward for giving Franklin the requested ingredients,Turkey Day,Yes,351,party,None,Turkey Day,Pattern Rugs,Not for sale,1.6.0,Yes,RugSquareHarvestL00,13525,S3E3mJ2PfFsqN6FPq
turquoise heart rug,#REF!,No,1500,375,Aqua,Aqua,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,fancy,child's room,None,Heart Rugs,For sale,1.0.0,Yes,RugOtherHeartM01,7579,MeN8d4a4YKoFc2zDW
white exercise mat,#REF!,No,1500,375,White,White,3x2,Medium,NA,NA,Saharah's Co-op,,NA,NA,137,sports,school,None,Slender Rugs,For sale,2.0.0,Yes,RugRectMatM00,12386,PTEdMjQ6RhLp5JNQt
white heart rug,#REF!,No,1500,375,White,White,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,fancy,child's room,None,Heart Rugs,For sale,1.0.0,Yes,RugOtherHeartM03,7578,ur5qNz9QEkkCEPRDQ
white message mat,#REF!,No,1000,250,White,White,2x1,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,child's room,None,None,Message Mats,For sale,1.0.0,Yes,RugOtherMessageS00,7338,ey5h5kDoaHvTgEdkj
white rose rug,#REF!,No,1500,375,White,White,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,fancy,expensive,flowers,Rose Rug,For sale,1.0.0,Yes,RugOtherRoseM03,8757,fWrizz9CC3Lg8apM2
white simple medium mat,#REF!,No,1500,375,Beige,White,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,living room,facility,None,Simple Rugs,For sale,1.0.0,Yes,RugSquareSimpleM00,7335,vXD2oADv2fg4QRCp6
white simple small mat,#REF!,No,1000,250,Beige,White,2x2,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,living room,facility,None,Simple Rugs,For sale,1.0.0,Yes,RugSquareSimpleS00,7336,vhxZi6oAZWm9gxRfK
white square tile,#REF!,No,1000,250,White,White,2x2,Small,NA,NA,Saharah's Co-op,,NA,NA,89,living room,facility,None,Wood Rugs,For sale,2.0.0,Yes,RugSquareWoodS01,13595,AybYhmrNqDQF7nmwA
white wedding rug,#REF!,No,NFS,375,White,White,3x2,Medium,4,Heart Crystals,Cyrus,,Wedding Season,Yes,437,party,fancy,wedding,Slender Pattern Rugs,Not for sale,1.2.0,Yes,RugRectJuneBrideM03,12464,At7cbGksXn6rvhkQr
white wooden-deck rug,#REF!,No,1500,375,White,White,3x2,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,outdoors,garden,None,Wood Rugs,For sale,1.0.0,Yes,RugRectDeckM02,7381,nmBMJkGHnxGdzYzzP
white-wood flooring sheet,#REF!,No,1000,250,White,White,2x1,Small,NA,NA,Saharah's Co-op,,NA,NA,89,shop,apparel shop,None,Wood Rugs,For sale,2.0.0,Yes,RugRectDisplayStandS03,14038,MnwwbhGePuQcNsm7C
white-wood flooring tile,#REF!,No,1000,250,White,White,1x1,Small,NA,NA,Saharah's Co-op,,NA,NA,89,apparel shop,facility,None,Wood Rugs,For sale,2.0.0,Yes,RugSquareDisplayStandS03,14035,QDuruxueRohGJyFPh
yellow argyle rug,#REF!,No,2000,500,Yellow,Yellow,4x3,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,living room,fancy,None,Slender Pattern Rugs,For sale,1.0.0,Yes,RugRectArgyleL00,7352,TEzohiZZfTSxoSNpd
yellow bamboo mat,#REF!,Yes,NFS,1200,Yellow,Yellow,2x1,Small,NA,NA,Crafting,,young spring bamboo,Yes,103,harmonious,retro,bamboo,Kitchen Rugs,Not for sale,2.0.0,Yes,RugRectBambooBathmatS01,12330,hKGKs9oChoax3Qkqp
yellow blocks rug,#REF!,No,1500,375,Yellow,Brown,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,living room,None,None,Pattern Rugs,For sale,1.0.0,Yes,RugSquareBlockM02,11103,Gb4rwvjZv74CDT8qE
yellow checked rug,#REF!,No,2000,500,Yellow,Green,4x4,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,living room,child's room,None,Pattern Rugs,For sale,1.0.0,Yes,RugSquareCheckQuiltL01,7462,GdqeFkwTpKJLFQpyK
yellow Hawaiian quilt rug,#REF!,No,2000,500,Yellow,White,4x4,Large,NA,NA,Saharah's Co-op,,NA,NA,253,None,None,None,Pattern Rugs,For sale,2.0.0,Yes,RugSquareHawaiianL01,12394,rsqpEquuEaidZAdjW
yellow kilim-style carpet,#REF!,No,2000,500,Yellow,Beige,5x5,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,living room,None,None,Pattern Rugs,For sale,1.0.0,Yes,RugSquareKirimL03,9315,274gPov62L9zR3onG
yellow kitchen mat,#REF!,No,1000,250,Yellow,Yellow,2x1,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,kitchen,None,None,Kitchen Rugs,For sale,1.0.0,Yes,RugRectKitchenS01,8395,CyGFnLgFnD3jrgKio
yellow medium round mat,#REF!,No,1500,375,Yellow,Yellow,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,living room,child's room,None,Shaggy Round Rugs,For sale,1.0.0,Yes,RugRoundSimpleM03,9544,TfKNppy5CiswuZGSw
yellow message mat,#REF!,No,1000,250,Yellow,Yellow,2x1,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,child's room,None,None,Message Mats,For sale,1.0.0,Yes,RugOtherMessageS02,9311,6NpR38JASvkZDezYq
yellow Persian rug,#REF!,No,2000,500,Yellow,Beige,5x5,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,expensive,living room,None,Pattern Rugs,For sale,1.0.0,Yes,RugSquarePersianL02,8036,HdsBjfD2ongYrBt5m
yellow rose rug,#REF!,No,1500,375,Yellow,Yellow,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,fancy,expensive,flowers,Rose Rug,For sale,1.0.0,Yes,RugOtherRoseM02,8759,jta8sYzY36aqcjp3T
yellow small round mat,#REF!,No,1000,250,Yellow,Yellow,2x2,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,living room,child's room,None,Shaggy Round Rugs,For sale,1.0.0,Yes,RugRoundSimpleS03,9547,FS2ZvZLcRQDHp6hHr
yellow star rug,#REF!,Yes,NFS,1500,Yellow,Yellow,3x3,Medium,NA,NA,Crafting,,NA,NA,103,None,None,stars,Park Rugs,Not for sale,2.0.0,Yes,RugOtherStarM00,12222,7CPoE3KPnJ3SqK4Mk
yellow stripes rug,#REF!,No,2000,500,Yellow,White,4x3,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,fancy,child's room,None,Slender Pattern Rugs,For sale,1.0.0,Yes,RugRectBorderL00,7351,mJP9gz2YZAcQsWELE
yellow vinyl sheet,#REF!,No,1500,375,Yellow,Colorful,3x2,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,ocean,resort,None,Slender Pattern Rugs,For sale,1.0.0,Yes,RugRectVinylM03,7403,8tMeC24TcYdot9ZuC
yellow watermelon rug,#REF!,No,1500,375,Yellow,Green,3x3,Medium,NA,NA,Saharah's Co-op,,NA,NA,137,None,None,None,Fruit Rugs,For sale,2.0.0,Yes,RugOtherWatermelonM01,12216,a7xgXP8K6df43NCBQ
yellow-design kitchen mat,#REF!,No,1000,250,Yellow,Black,2x1,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,kitchen,None,None,Kitchen Rugs,For sale,1.0.0,Yes,RugRectNativeKitchenS02,7596,B76hfTkYR2vm96Hfd
Yoshi's Egg rug,#REF!,No,1500,375,Green,White,3x3,Medium,NA,NA,Nook Shopping Promotion,Not available before March 1st 2021,NA,NA,201,fancy,child's room,Mario,Icon Rugs,Not in catalog,1.8.0,Yes,RugOtherMarioAM00,13872,CfuABFvYQYNAKQcR6