Name,Framed Image,Album Image,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Source,Source Notes,Season/Event,Season/Event Exclusive,Catalog,Version Added,Unlocked?,Filename,Internal ID,Unique Entry ID
Agent K.K.,,,3200,800,103,Brown,Orange,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""It's hard to say."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Keiji,2472,omxkkikQ5jwtoGiXa
Aloha K.K.,,,3200,800,103,Brown,Aqua,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Aloha,2423,rxKK6nfmC4rWvXxCv
Animal City,,,NFS,800,103,Brown,None,1x1,K.K. concert,Hidden song - only by request,NA,NA,Not for sale,1.0.0,Yes,mjk_DoubutuNoMachi,4312,PTLK2jL5rb7t5Rm5j
Bubblegum K.K.,,,3200,800,103,Brown,Aqua,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""I feel good!"" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Idol,2492,ZgwCoTem6x9efZAnD
Café K.K.,,,3200,800,103,Brown,Colorful,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""I feel good!"" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Paris,2454,ZXwXi8YnFpks2RPuK
Chillwave,,,3200,800,103,Brown,White,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,2.0.0,Yes,mjk_Chillwave,7661,ystJwQvoZ6wxxk4Rt
Comrade K.K.,,,3200,800,103,Brown,White,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little blue..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_ShowaKayo,2448,5ufeoTSFwRxQTrXdq
DJ K.K.,,,3200,800,103,Brown,Pink,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little grumpy..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_EuroBeat,2443,6H8pzhuYdfNpD8KTd
Drivin',,,NFS,800,103,Brown,None,1x1,K.K. concert,Hidden song - only by request,NA,NA,Not for sale,1.0.0,Yes,mjk_Drive,4314,at7FbmJfbKvsGHB5T
Farewell,,,NFS,800,103,Brown,None,1x1,K.K. concert,Hidden song - only by request,NA,NA,Not for sale,1.0.0,Yes,mjk_Sayonara,4313,diprrz97SbCJGzXM3
Forest Life,,,3200,800,103,Brown,Yellow,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_MoriNoSeikatsu,2461,ZM4S88gPPapGknNeR
Go K.K. Rider,,,3200,800,103,Brown,White,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little grumpy..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_KekeRider,2450,w6jLsBX6ZX4oPDwDh
Hazure01,NA,NA,NFS,NA,0,None,None,1x1,K.K. concert,Played by K.K. if you request something he doesn't have (does not give take-home track),NA,NA,Not in catalog,1.0.0,Yes,mjk_Miss1,4315,yzpTLMjxFrMMyPe9t
Hazure02,NA,NA,NFS,NA,0,None,None,1x1,K.K. concert,Played by K.K. if you request something he doesn't have (does not give take-home track),NA,NA,Not in catalog,1.0.0,Yes,mjk_Miss2,4316,oeZ6a9qJA54fyuwA3
Hazure03,NA,NA,NFS,NA,0,None,None,1x1,K.K. concert,Played by K.K. if you request something he doesn't have (does not give take-home track),NA,NA,Not in catalog,1.0.0,Yes,mjk_Miss3,4317,cXrvAEgQstHcnP5Zf
Hypno K.K.,,,3200,800,103,Brown,White,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""It's hard to say."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_UtataneNoYume,2480,qwHrcscJZNxD5mn8k
I Love You,,,3200,800,103,Brown,Colorful,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Daisuki,2458,cic3w9hqeY222ni2z
Imperial K.K.,,,3200,800,103,Brown,Pink,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little grumpy..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_China,2427,6y3ftdfGBa3oYAfrA
K.K. Adventure,,,3200,800,103,Brown,Orange,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little grumpy..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Hollywood,2484,6FWZByesWNcjXBPQX
K.K. Aria,,,3200,800,103,Brown,Blue,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Maria,2413,9ZSqWa7JjfMhwPWEE
K.K. Ballad,,,3200,800,103,Brown,Black,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little blue..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Ballad,2447,awbEqrBQ52aCi4YKj
K.K. Bashment,,,3200,800,103,Brown,White,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little blue..."" as your mood",NA,NA,For sale,2.0.0,Yes,mjk_Bashment,7664,3GeLa8tgcNhGZCLFP
K.K. Bazaar,,,3200,800,103,Brown,Black,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little grumpy..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Roma,2486,yJdhdZPjGQSs4xL7a
K.K. Birthday,,,NFS,800,103,Brown,Aqua,1x1,K.K. concert,Received on your first time seeing K.K. perform during your birthday,Birthday,Yes,Not for sale,1.0.0,Yes,mjk_BirthdaySong,2495,xrFkTdiZ9fHkYMvDr
K.K. Blues,,,3200,800,103,Brown,White,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""It's hard to say."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Blues,2436,HtTcKk7AdJLrmwXXK
K.K. Bossa,,,3200,800,103,Brown,White,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Bossa,2415,Bu3tGw6JnhnMEabz2
K.K. Break,,,3200,800,103,Brown,Purple,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little grumpy..."" as your mood",NA,NA,For sale,2.0.0,Yes,mjk_Break,7666,cR4WKiLY93LkbSN6q
K.K. Calypso,,,3200,800,103,Brown,White,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""I feel good!"" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Caripso,2416,g7TbqwnzRw64kcmso
K.K. Casbah,,,3200,800,103,Brown,Beige,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little grumpy..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Turkey,2428,CuWyihNkLbL5rwbYZ
K.K. Chorale,,,3200,800,103,Brown,Beige,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little blue..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Sanbika,2405,rijxxXt45dqkXze5A
K.K. Chorinho,,,3200,800,103,Brown,Aqua,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little grumpy..."" as your mood",NA,NA,For sale,2.0.0,Yes,mjk_Choro,7660,sxuGwPKb8EX7pD2GK
K.K. Condor,,,3200,800,103,Brown,Beige,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little blue..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Peru,2425,EoALBg9oEc9NmJpaf
K.K. Country,,,3200,800,103,Brown,Black,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""I feel good!"" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Country,2445,rN2cyPLzaZaMGmrwj
K.K. Cruisin',,,3200,800,103,Brown,Black,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little grumpy..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Urban,2439,hPBjqhB66YBw6Tz4n
K.K. D&B,,,3200,800,103,Brown,Colorful,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""It's hard to say."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Drumnbass,2441,rkBHJtfrcabbt57bD
K.K. Dirge,,,3200,800,103,Brown,Black,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little blue..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_KowaiUta,2451,2DDYNvo8uNo5zNPo8
K.K. Disco,,,3200,800,103,Brown,Colorful,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""I feel good!"" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Disco,2494,tAZn6EXuFip47sbbo
K.K. Dixie,,,3200,800,103,Brown,Colorful,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""I feel good!"" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Dixie,2464,bCL6Df8hoG7kooXcL
K.K. Dub,,,3200,800,103,Brown,Beige,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,2.0.0,Yes,mjk_Dub,7662,dKMnHPfH5R3EGEdX4
K.K. Étude,,,3200,800,103,Brown,Black,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little blue..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Etude,2411,PgDmhWq5W4ciF6TW5
K.K. Faire,,,3200,800,103,Brown,Orange,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Haisai,2422,3i2RNpZeHPhxq6bPY
K.K. Flamenco,,,3200,800,103,Brown,Red,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little grumpy..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Flamenco,2490,KXRPPacevShYgCh33
K.K. Folk,,,3200,800,103,Brown,Colorful,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""It's hard to say."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Minyo,2430,L9SqkeaoQNXGphs6H
K.K. Fugue,,,3200,800,103,Brown,Black,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,2.0.0,Yes,mjk_Fugue,7657,46QADLGQz9nA2KA4g
K.K. Fusion,,,3200,800,103,Brown,Colorful,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Fusion,2410,Lx9Kk9gmmori3huxC
K.K. Groove,,,3200,800,103,Brown,Blue,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""I feel good!"" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Raregroove,2488,7ss8K3czErhJNQiXJ
K.K. Gumbo,,,3200,800,103,Brown,Beige,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""It's hard to say."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_NewOrleans,2434,nPNjtqN3AJdfxLuAx
K.K. Hop,,,3200,800,103,Brown,Yellow,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""It's hard to say."" as your mood",NA,NA,For sale,2.0.0,Yes,mjk_Hiphop,7665,D5vWDETq9hyZEwsvG
K.K. House,,,3200,800,103,Brown,Pink,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little grumpy..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_House,2478,DoMmMBQBeXm7sTGPm
K.K. Island,,,3200,800,103,Brown,Aqua,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_DoubutsuNoShima,2482,LrdjwBdn7hS2NXeW2
K.K. Jazz,,,3200,800,103,Brown,Aqua,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Jazz,2409,eRNA3ktNpPi8qB5Yx
K.K. Jongara,,,3200,800,103,Brown,Aqua,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little grumpy..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Jongara,2489,2tqAXsz3eiAFcZ5aS
K.K. Khoomei,,,3200,800,103,Brown,White,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""It's hard to say."" as your mood",NA,NA,For sale,2.0.0,Yes,mjk_Khoomii,7667,ourFYo5xsLa8TEsmy
K.K. Lament,,,3200,800,103,Brown,Gray,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little blue..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Enka,2449,LLDo3zTdcLf3JRexf
K.K. Love Song,,,3200,800,103,Brown,White,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_LoveSong,2440,Zi4kijYWbE3taJy67
