Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
aerobics leggings,,,Red & pink,No,700,175,23,Pink,Red,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Active,Active,sporty,1,No,For sale,1.0.0,Yes,SocksTexAerobics0,621,5197,Smui8G3P6D8WgqK9G
aerobics leggings,,,Light blue & salmon pink,No,700,175,23,Pink,Aqua,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Active,Active,sporty,2,No,For sale,1.0.0,Yes,SocksTexAerobics3,621,9796,nYBBFZjyvYjTSN4fD
aerobics leggings,,,Purple & orange,No,700,175,23,Orange,Purple,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Active,Active,sporty,3,No,For sale,1.0.0,Yes,SocksTexAerobics2,621,9795,jWvfpeefbhQpHQFoM
aerobics leggings,,,Emerald & lime,No,700,175,23,Green,Aqua,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Active,Active,sporty,4,No,For sale,1.0.0,Yes,SocksTexAerobics1,621,9794,eZKx89GvGsXcSDiMk
aerobics leggings,,,Yellow & blue,No,700,175,23,Blue,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Active,Active,sporty,5,No,For sale,1.0.0,Yes,SocksTexAerobics4,621,9797,gYqiyt5aP9KjqNnXQ
Aran-knit socks,,,White,No,720,180,51,White,White,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Simple,Elegant,everyday; comfy,1,No,For sale,1.0.0,Yes,SocksTexAlan1,536,9058,XX9wX5KzyENyLGa5e
Aran-knit socks,,,Black,No,720,180,51,Black,Black,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Simple,Elegant,everyday; comfy,2,No,For sale,1.0.0,Yes,SocksTexAlan5,536,9062,pLZq39rKg8rn454r4
Aran-knit socks,,,Red,No,720,180,51,Red,Red,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Simple,Elegant,everyday; comfy,3,No,For sale,1.0.0,Yes,SocksTexAlan2,536,9059,7xkmotJQfLFN6Rohx
Aran-knit socks,,,Green,No,720,180,51,Green,Green,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Simple,Elegant,everyday; comfy,4,No,For sale,1.0.0,Yes,SocksTexAlan3,536,9060,NH6u8astq42zMebAa
Aran-knit socks,,,Blue,No,720,180,51,Blue,Blue,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Simple,Elegant,everyday; comfy,5,No,For sale,1.0.0,Yes,SocksTexAlan4,536,9061,Gardfqrryv6SLZSQB
Aran-knit socks,,,Beige,No,720,180,51,Beige,Beige,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Simple,Elegant,everyday; comfy,6,No,For sale,1.0.0,Yes,SocksTexAlan0,536,4742,stTCJiLMdhmZ2ztyw
argyle crew socks,,,White,No,720,180,51,White,Red,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Free,Elegant,Simple,everyday; formal; work,1,No,For sale,1.0.0,Yes,SocksTexArgyle5,880,9925,dT8t2ZMFSfktJkoDd
argyle crew socks,,,Gray,No,720,180,51,Gray,Pink,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Free,Elegant,Simple,everyday; formal; work,2,No,For sale,1.0.0,Yes,SocksTexArgyle4,880,9924,2LSJz8d2eCLmuyiMg
argyle crew socks,,,Red,No,720,180,51,Red,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Free,Elegant,Simple,everyday; formal; work,3,No,For sale,1.0.0,Yes,SocksTexArgyle1,880,9921,9MeYsgc2wAGCmj4mC
argyle crew socks,,,Pink,No,720,180,51,Pink,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Free,Elegant,Simple,everyday; formal; work,4,No,For sale,1.0.0,Yes,SocksTexArgyle7,880,9927,9Gibgt5gRyngn6EuR
argyle crew socks,,,Orange,No,720,180,51,Orange,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Free,Elegant,Simple,everyday; formal; work,5,No,For sale,1.0.0,Yes,SocksTexArgyle6,880,9926,CyRT5FdBTnic9cYrF
argyle crew socks,,,Green,No,720,180,51,Green,Yellow,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Free,Elegant,Simple,everyday; formal; work,6,No,For sale,1.0.0,Yes,SocksTexArgyle2,880,9922,dm4YEXfYftcwG3NB8
argyle crew socks,,,Blue,No,720,180,51,Blue,Aqua,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Free,Elegant,Simple,everyday; formal; work,7,No,For sale,1.0.0,Yes,SocksTexArgyle0,880,5806,QyJBC6G3E7dzXidaW
argyle crew socks,,,Beige,No,720,180,51,Beige,Brown,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Free,Elegant,Simple,everyday; formal; work,8,No,For sale,1.0.0,Yes,SocksTexArgyle3,880,9923,KrrN2AHTcePZaMyMo
back-bow socks,,,White,No,600,150,23,White,Pink,1x1,NA,NA,Kicks; Kicks' Co-op,,Spring (shopping),Yes,Spring,Spring,NA,Free,Cute,Cute,everyday; fairy tale; party; vacation,1,No,For sale,1.0.0,Yes,SocksTexRibbon3,519,9055,NXYXEomdp3yqkafZ7
back-bow socks,,,Black,No,600,150,23,Black,White,1x1,NA,NA,Kicks; Kicks' Co-op,,Spring (shopping),Yes,Spring,Spring,NA,Free,Cute,Cute,everyday; fairy tale; party; vacation,2,No,For sale,1.0.0,Yes,SocksTexRibbon2,519,9054,NbaHgge5Zf54Y6dQT
back-bow socks,,,Pink,No,600,150,23,Pink,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,Spring (shopping),Yes,Spring,Spring,NA,Free,Cute,Cute,everyday; fairy tale; party; vacation,3,No,For sale,1.0.0,Yes,SocksTexRibbon0,519,4718,SerX2gLYQTKxmFi7W
back-bow socks,,,Yellow,No,600,150,23,Yellow,Green,1x1,NA,NA,Kicks; Kicks' Co-op,,Spring (shopping),Yes,Spring,Spring,NA,Free,Cute,Cute,everyday; fairy tale; party; vacation,4,No,For sale,1.0.0,Yes,SocksTexRibbon1,519,9053,KE3idPQwqM2kvbNFw
back-bow socks,,,Peacock blue,No,600,150,23,Green,Pink,1x1,NA,NA,Kicks; Kicks' Co-op,,Spring (shopping),Yes,Spring,Spring,NA,Free,Cute,Cute,everyday; fairy tale; party; vacation,5,No,For sale,1.0.0,Yes,SocksTexRibbon5,519,9057,ju47pefTtHj739pAr
back-bow socks,,,Blue,No,600,150,23,Aqua,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,Spring (shopping),Yes,Spring,Spring,NA,Free,Cute,Cute,everyday; fairy tale; party; vacation,6,No,For sale,1.0.0,Yes,SocksTexRibbon4,519,9056,ZuzCi6zDF9G9Swfci
bobby socks,,,White,No,480,120,51,White,White,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Spring,All Year,Free,Elegant,Simple,formal; work,1,No,For sale,1.0.0,Yes,SocksTexFolded0,604,5171,aL52HPePkC84gPQup
bobby socks,,,Gray,No,480,120,51,Gray,Gray,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Spring,NA,Free,Elegant,Simple,formal; work,2,No,For sale,1.0.0,Yes,SocksTexFolded1,604,10017,a9aLEHyXSdpHqYLm8
bobby socks,,,Black,No,480,120,51,Black,Black,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Spring,NA,Free,Elegant,Simple,formal; work,3,No,For sale,1.0.0,Yes,SocksTexFolded2,604,10018,iby3kB32wD5rkxYod
bobby socks,,,Brown,No,480,120,51,Brown,Brown,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Spring,NA,Free,Elegant,Simple,formal; work,4,No,For sale,1.0.0,Yes,SocksTexFolded3,604,10019,ZH9uTJSirjyNrH3Qw
color-blocked socks,,,White,No,840,210,23,White,Colorful,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Cute,Elegant,everyday,1,No,For sale,1.0.0,Yes,SocksTexMultiblock5,612,9899,bxt6nkbfnX6KEKifX
color-blocked socks,,,Pink,No,840,210,23,Pink,Colorful,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Cute,Elegant,everyday,2,No,For sale,1.0.0,Yes,SocksTexMultiblock7,612,9901,3Y9LcSKLMJbT5YJfH
color-blocked socks,,,Lime,No,840,210,23,Green,Colorful,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Cute,Elegant,everyday,3,No,For sale,1.0.0,Yes,SocksTexMultiblock6,612,9900,jDEgNFRCGWgFw5hNq
color-blocked socks,,,Green,No,840,210,23,Green,Colorful,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Cute,Elegant,everyday,4,No,For sale,1.0.0,Yes,SocksTexMultiblock1,612,9895,gSZ3co7FeNLM2DqmZ
color-blocked socks,,,Blue,No,840,210,23,Blue,Colorful,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Cute,Elegant,everyday,5,No,For sale,1.0.0,Yes,SocksTexMultiblock3,612,9897,EKGnqpYcYK5KDre8R
color-blocked socks,,,Purple,No,840,210,23,Purple,Colorful,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Cute,Elegant,everyday,6,No,For sale,1.0.0,Yes,SocksTexMultiblock0,612,5180,5nRBXNdkdjyAjs5RQ
color-blocked socks,,,Brown,No,840,210,23,Brown,Colorful,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Cute,Elegant,everyday,7,No,For sale,1.0.0,Yes,SocksTexMultiblock2,612,9896,tTwmQJF35W2CdDRNL
color-blocked socks,,,Beige,No,840,210,23,Beige,Colorful,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Cute,Elegant,everyday,8,No,For sale,1.0.0,Yes,SocksTexMultiblock4,612,9898,tkbYFgGoKnqAJZ49K
compression tights,,,Red,No,600,150,23,Black,Red,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Active,Active,outdoorsy; sporty; work,1,No,For sale,1.0.0,Yes,SocksTexCompression4,603,9793,qrFTn5ab3j4nHqzwd
compression tights,,,Pink,No,600,150,23,Black,Pink,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Active,Active,outdoorsy; sporty; work,2,No,For sale,1.0.0,Yes,SocksTexCompression2,603,9791,SsdRjyHarAqc72Kmv
compression tights,,,Yellow,No,600,150,23,Black,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Active,Active,outdoorsy; sporty; work,3,No,For sale,1.0.0,Yes,SocksTexCompression1,603,9790,otHYAzdH3cf86yKEo
compression tights,,,Mint,No,600,150,23,Black,Green,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Active,Active,outdoorsy; sporty; work,4,No,For sale,1.0.0,Yes,SocksTexCompression3,603,9792,j6AcTLGBGdk9xgThP
compression tights,,,Blue,No,600,150,23,Black,Blue,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Active,Active,outdoorsy; sporty; work,5,No,For sale,1.0.0,Yes,SocksTexCompression0,603,5170,Fc8uttzc2hwQM7RKw
country socks,,,Black ribbons,No,720,180,51,White,Black,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Elegant,Simple,formal; work,1,No,For sale,1.0.0,Yes,SocksTexCountry3,926,8944,ptJF3tBrJxAYRLT5T
country socks,,,Red ribbons,No,720,180,51,White,Red,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Elegant,Simple,formal; work,2,No,For sale,1.0.0,Yes,SocksTexCountry0,926,6044,wgBZqqpZomaTLZhcz
country socks,,,Green ribbons,No,720,180,51,White,Green,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Elegant,Simple,formal; work,3,No,For sale,1.0.0,Yes,SocksTexCountry1,926,8942,RWpifRdqLmYQL5dGf
country socks,,,Blue ribbons,No,720,180,51,White,Blue,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Elegant,Simple,formal; work,4,No,For sale,1.0.0,Yes,SocksTexCountry2,926,8943,mDTdqvPWaESchMEGe
crocheted socks,,,Gray,No,600,150,51,Gray,Gray,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Elegant,Simple,everyday; comfy,1,No,For sale,1.0.0,Yes,SocksTexCrocheting1,626,8939,mopfLb9yhXEj9qXS2
crocheted socks,,,Purple,No,600,150,51,Pink,Pink,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Elegant,Simple,everyday; comfy,2,No,For sale,1.0.0,Yes,SocksTexCrocheting2,626,8940,PT7ZGkfTfkvtkBmJx
crocheted socks,,,Blue,No,600,150,51,Aqua,Aqua,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Elegant,Simple,everyday; comfy,3,No,For sale,1.0.0,Yes,SocksTexCrocheting3,626,8941,k8aPtaZcFrRZwZvD6
crocheted socks,,,Beige,No,600,150,51,Beige,Beige,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Elegant,Simple,everyday; comfy,4,No,For sale,1.0.0,Yes,SocksTexCrocheting0,626,5202,phkn7YMAHEZZFyC3L
denim leggings,,,Indigo blue,No,540,135,51,Blue,Blue,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,All Year,Free,Simple,Simple,everyday; outdoorsy; sporty,1,No,For sale,1.0.0,Yes,SocksTexDenimleggings1,539,9782,zX9ge6E48pkgAtvJG
denim leggings,,,Light blue,No,540,135,51,Aqua,Aqua,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Simple,Simple,everyday; outdoorsy; sporty,2,No,For sale,1.0.0,Yes,SocksTexDenimleggings3,539,9784,kJjSEP42iYeHw2XTP
denim leggings,,,Saxon blue,No,540,135,51,Aqua,Aqua,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Simple,Simple,everyday; outdoorsy; sporty,3,No,For sale,1.0.0,Yes,SocksTexDenimleggings2,539,9783,z4ygu9Huw9NGZBeYZ
denim leggings,,,Blue,No,540,135,51,Blue,Blue,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Simple,Simple,everyday; outdoorsy; sporty,4,No,For sale,1.0.0,Yes,SocksTexDenimleggings0,539,4745,3FSnfcpAYm5Fjbctc
dotted knee-high socks,,,Gray,No,720,180,51,Gray,Gray,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,Winter,Free,Cute,Simple,everyday,1,No,For sale,1.0.0,Yes,SocksTexDotknee3,1188,12181,wJw3R2v2MKdSepbvE
dotted knee-high socks,,,Black,No,720,180,51,Black,Black,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,Winter,Free,Cute,Simple,everyday,2,No,For sale,1.0.0,Yes,SocksTexDotknee0,1188,12174,NvX65fPWJDEAJdBh8
dotted knee-high socks,,,Yellow,No,720,180,51,Yellow,Yellow,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Cute,Simple,everyday,3,No,For sale,1.0.0,Yes,SocksTexDotknee1,1188,12179,2yn8c76aCod8W6H9t
dotted knee-high socks,,,Cyan,No,720,180,51,Green,Green,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Cute,Simple,everyday,4,No,For sale,1.0.0,Yes,SocksTexDotknee2,1188,12180,Kvp83zH2Qcp6XeJro
embroidered-flower tights,,,Black,No,1000,250,51,Black,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Spring,NA,Free,Cute,Elegant,everyday; fairy tale; party,1,No,For sale,1.0.0,Yes,SocksTexEmbroidery1,628,9907,SiWtz8aTYoK75JfRz
embroidered-flower tights,,,Green,No,1000,250,51,Green,Yellow,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Spring,NA,Free,Cute,Elegant,everyday; fairy tale; party,2,No,For sale,1.0.0,Yes,SocksTexEmbroidery2,628,9908,jPQA8CohQNBhSwsiq
embroidered-flower tights,,,Blue,No,1000,250,51,Blue,Orange,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Spring,NA,Free,Cute,Elegant,everyday; fairy tale; party,3,No,For sale,1.0.0,Yes,SocksTexEmbroidery4,628,9910,fmZu6dNagF4XW6rvd
embroidered-flower tights,,,Purple,No,1000,250,51,Purple,Pink,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Spring,NA,Free,Cute,Elegant,everyday; fairy tale; party,4,No,For sale,1.0.0,Yes,SocksTexEmbroidery5,628,9911,iivtbk5pG2i2asvBC
embroidered-flower tights,,,Brown,No,1000,250,51,Brown,Red,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Spring,NA,Free,Cute,Elegant,everyday; fairy tale; party,5,No,For sale,1.0.0,Yes,SocksTexEmbroidery0,628,5204,qAsvxHbnuC6DDNZjG
embroidered-flower tights,,,Beige,No,1000,250,51,Beige,Red,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Spring,NA,Free,Cute,Elegant,everyday; fairy tale; party,6,No,For sale,1.0.0,Yes,SocksTexEmbroidery3,628,9909,fwcHa7FkHcm4BZdYP
everyday socks,,,White,No,600,150,51,White,White,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,Summer,Free,Simple,Simple,everyday; work,1,No,For sale,1.0.0,Yes,SocksTexDailysocks5,1059,10038,4s4vWXEwkLbb3efNb
everyday socks,,,Gray,No,600,150,51,Gray,Gray,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Simple,Simple,everyday; work,2,No,For sale,1.0.0,Yes,SocksTexDailysocks3,1059,10036,RYHfit78bZMtfDcGL
everyday socks,,,Black,No,600,150,51,Black,Black,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Simple,Simple,everyday; work,3,No,For sale,1.0.0,Yes,SocksTexDailysocks1,1059,10034,Pe45hBHF5EJnYr9Es
everyday socks,,,Navy blue,No,600,150,51,Blue,Blue,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,Winter,Free,Simple,Simple,everyday; work,4,No,For sale,1.0.0,Yes,SocksTexDailysocks2,1059,10035,MyTLF7gvqar4TjoR3
everyday socks,,,Brown,No,600,150,51,Brown,Brown,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Simple,Simple,everyday; work,5,No,For sale,1.0.0,Yes,SocksTexDailysocks0,1059,9645,7NubAsby6JGtDjkQE
everyday socks,,,Beige,No,600,150,51,Beige,Beige,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Simple,Simple,everyday; work,6,No,For sale,1.0.0,Yes,SocksTexDailysocks4,1059,10037,AjdoBNEpkupPceJ4z
everyday tights,,,White,No,720,180,51,White,White,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,Summer; Winter,Free,Simple,Simple,everyday; work,1,No,For sale,1.0.0,Yes,SocksTexDailytights3,1050,9684,iENLav487Pt8WgfWk
everyday tights,,,Light gray,No,720,180,51,Gray,Gray,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,All Year,Free,Simple,Simple,everyday; work,2,No,For sale,1.0.0,Yes,SocksTexDailytights1,1050,9682,GG4hZNfY85kX42aEe
everyday tights,,,Gray,No,720,180,51,Gray,Gray,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,Winter,Free,Simple,Simple,everyday; work,3,No,For sale,1.0.0,Yes,SocksTexDailytights2,1050,9683,HWnMuGqHxjQLh7yDJ
